FID,CODCALLE,TEXTO,CAPACIDAD,GEOCODIGO,NOTAS,UTM_X,UTM_Y,GRAD_X,GRAD_Y
50.0,51834,CALLE RUISEÑOR,2700.0,CT 2311,"CT GRAL. DEL SUR / CL RUISE¥OR, 12 / BAR RH+ / C. SALUD",371825.684765,3146068.69117,-16.3088399383,28.4348235018
51.0,54175,CALLE VIRGILIO HERNANDEZ TEJERA,2700.0,CT 2743,CL CHIGUERGUE / CL VIRGILIO HERNANDEZ TEJERA,374547.464633,3148676.22935,-16.2813361386,28.4586194588
52.0,54264,CALLE TAGORE,2500.0,CT 0579,CL CONDE DE PALLASAR / CL TAGORE,374105.101167,3148367.30102,-16.2858196396,28.4557889376
53.0,54612,CALLE COLUMBRETE,1500.0,CT 1277,CL CHINAMADA / CL COLUMBRETE / EDIF. TAMARINDO / COL. VIRGEN DEL MAR,372063.38729,3145118.25255,-16.3063078359,28.4262697038
54.0,54612,CALLE COLUMBRETE,1500.0,CT 1269,CL COLUMBRETE / CL CUARTA / TABERNA PACHECO / CONT. BAS.,372118.68559,3144987.85318,-16.3057288849,28.4250983459
55.0,54612,CALLE COLUMBRETE,2700.0,CT 2394,"CL COLUMBRETE, 43",371891.128101,3145102.24842,-16.3080645516,28.4261083908
56.0,54844,CALLE PEDRO PEREZ DIAZ,2700.0,CT 3188,AV SANTA CRUZ / CL PEREZ DIAZ,377714.373181,3150559.24592,-16.2491965012,28.4759135665
57.0,54867,CALLE LA VICA,2700.0,CT 2557,CL SARGENTO PROVISIONAL / CL LA VICA / COLEGIO ECHEYDE,373662.861469,3147818.87856,-16.2902753932,28.4507969957
58.0,57316,GLORIETA DOMINGO CABRERA CRUZ,2500.0,CT 0001,CT GRAL. / GLORIETA DOMINGO CABRERA CRUZ / APARC. / CONT. BAS.,386940.334057,3155832.48363,-16.1554843551,28.5243364633
59.0,57587,CARRETERA ALMACIGA,2700.0,CT 2766,CT TAGANANA-BENIJOS / PLAYA SAN ROQUE / REST. CASA OLGA,382300.443637,3161040.8268,-16.2034304894,28.570927963
60.0,57943,PLAZA FRANCISCO ARTEAGA GARCIA,2700.0,CT 2745,CL SANTIAGO BEYRO / CL NIVARIA / CONT. BAS.,375500.106086,3149405.41491,-16.2716868833,28.4652912457
61.0,20573,GLORIETA PEDRO DE MENDOZA,2700.0,CT 3139,CL CALDERON DE LA BARCA / PZ PEDRO DE MENDOZA,376919.913823,3148844.76298,-16.257127455,28.4603664355
62.0,20573,GLORIETA PEDRO DE MENDOZA,2700.0,CT 3338,AV BUENOS AIRES / AV LA SALLE / PZ PEDRO DE MENDOZA,376963.629372,3148858.96119,-16.2566825528,28.4604986924
63.0,20596,AVENIDA BUENOS AIRES,2700.0,CT 2530,AV BUENOS AIRES / CL LUIS ALVAREZ CRUZ,377102.622398,3148884.36852,-16.2552658795,28.4607410867
